age,frequency,frequency_decimal
28,979,0.03376094903096765
27,973,0.03355403820953169
26,951,0.03279536519759983
43,943,0.032519484102351885
19,940,0.0324160286916339
25,929,0.03203669218566798
31,923,0.031829781364232014
34,922,0.03179529622732602
35,913,0.03148492999517208
24,912,0.031450444858266084
39,899,0.031002138078488173
38,898,0.03096765294158218
37,895,0.030864197530864196
29,883,0.030450375887992275
21,877,0.030243465066556313
32,870,0.03000206910821436
30,866,0.029864128560590387
36,859,0.02962273260224843
44,854,0.029450306917718463
40,853,0.02941582178081247
45,824,0.02841575281053866
41,823,0.028381267673632665
22,822,0.02834678253672667
42,808,0.027863990620042762
18,795,0.027415683840264847
20,791,0.027277743292640873
23,790,0.02724325815573488
33,763,0.026312159459273052
17,704,0.024277536381819436
15,693,0.023898199875853506
16,660,0.02276019035795572
14,590,0.020346230774536175
46,303,0.010448996482516036
47,185,0.0063797503276088
54,176,0.006069384095454859
53,169,0.0058279881371129045
52,167,0.005759017863300918
48,163,0.005621077315676943
49,149,0.005138285398993034
50,148,0.005103800262087041
55,147,0.0050693151251810465
51,142,0.00489688944065108
56,47,0.0016208014345816953
